opcode	mnemonic	sm_gen	encoding_slot	path
168	FOOTPRINT	sm_73	36	direct
169	S2UR	sm_73	355	EXTENDED(355)
170	BRXU	sm_73	0	slot0/default
171	SM73_LAST	sm_73	0	slot0/default
172	SM82_FIRST	sm_82	110	direct
173	GATHER	sm_82	115	direct
174	GENMETADATA	sm_82	114	direct
175	SPMETADATA	sm_82	117	direct
176	BMMA_88128	sm_82	196	direct
177	BMMA_168128	sm_82	254	direct
178	BMMA_168256	sm_82	255	direct
179	CLMAD	sm_82	256	direct
180	DMMA	sm_82	257	direct
181	HMMA_SP_1688	sm_82	258	direct
182	HFMA2_MMA	sm_82	259	direct
183	HMNMX2	sm_82	260	direct
184	IMMA_88	sm_82	261	direct
185	IMMA_SP_88	sm_82	0	slot0/default
186	IMMA_16816	sm_82	0	slot0/default
187	IMMA_16832	sm_82	262	direct
188	IMMA_SP_16832	sm_82	243	direct
189	ARRIVES	sm_82	0	slot0/default
190	LDGDEPBAR	sm_82	0	slot0/default
191	LDGSTS	sm_82	0	slot0/default
192	REDUX	sm_82	0	slot0/default
193	SM82_LAST	sm_82	0	slot0/default
194	SM86_FIRST	sm_86	0	slot0/default
195	F2IP	sm_86	0	slot0/default
196	UF2FP	sm_86	0	slot0/default
197	I2FP	sm_86	0	slot0/default
198	SUQUERY	sm_86	0	slot0/default
199	SM86_LAST	sm_86	0	slot0/default
200	SM89_FIRST	sm_89	0	slot0/default
201	QMMA_16816	sm_89	0	slot0/default
202	QMMA_16832	sm_89	96	direct
203	QMMA_SP_16832	sm_89	0	slot0/default
204	QMMA_SP_12864	sm_89	169	direct
205	SM89_LAST	sm_89	178	direct
206	SM90_FIRST	sm_90	197	direct
207	ACQBLK	sm_90	239	direct
208	CGABAR_ARV	sm_90	154	direct
209	CGABAR_GET	sm_90	0	slot0/default
210	CGABAR_SET	sm_90	195	direct
211	CGABAR_WAIT	sm_90	175	direct
212	CGAERRBAR	sm_90	355	EXTENDED(355)
213	CREATEPOLICY	sm_90	355	EXTENDED(355)
214	CVTA	sm_90	355	EXTENDED(355)
215	DMMA	sm_90	355	EXTENDED(355)
216	ELECT	sm_90	355	EXTENDED(355)
217	ENDCOLLECTIVE	sm_90	309	direct
218	FENCE_G	sm_90	170	direct
219	FENCE_S	sm_90	355	EXTENDED(355)
220	FMNMX	sm_90	355	EXTENDED(355)
221	GMMA	sm_90	0	slot0/default
