# sm_12x (consumer Blackwell: sm_120/sm_121) 72-B sched-class descriptors
# == the sm_10x latency family @ .rodata VMA 0x226C880 (430 classes).
# Binary-derived (ptxas 13.0.88).  sm_120 and sm_121 install this exact table
# (installer sub_ABF590 enum 0x4001, shared with sm_100/sm_103); sm_120 == sm_121
# byte-identical SASS verified empirically.  Identical bytes to latency_table_sm10x.tsv.
idx	class_id	pipeA_hex	pipeB_hex	p0_flags	p1_tput	p2	p3	p4	p5_maxstall	p6	p7_self	p8	p9	p10	p11
60	71	0000030303ffffff	0000ffffffff0000	256	0	39	4	19	3	2	71	0	1	1	0
61	72	1f1f030303ffffff	0000ffffffff0000	256	0	39	4	19	3	2	72	0	1	1	0
62	74	1f1f030303ffffff	0000ffffffff0000	256	0	39	4	19	3	2	74	0	1	1	0
63	75	1010040404ff0404	0000ffffffff0000	1024	4	36	1	12	7	3	75	1	2	3	0
64	76	ffffffffffffffff	0000ffffffff0000	134217728	4	8	1	3	7	3	76	1	2	3	0
65	77	ffffffffffffffff	0000ffffffff0000	134217728	4	9	1	3	7	3	77	1	2	3	0
66	79	1f1f030303ffffff	0000ffffffff0000	256	0	39	4	19	3	2	79	0	1	1	0
67	81	1f1f030303ffffff	0000ffffffff0000	256	0	39	4	19	3	2	81	0	1	1	0
68	87	1010040404ff0404	0000ffffffff0000	1024	4	36	1	12	7	3	87	1	2	3	0
69	88	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	88	0	1	1	0
70	90	1f1f030303ffffff	0000ffffffff0000	256	0	39	4	19	3	2	90	0	1	1	0
71	92	1f1f030303ffffff	0000ffffffff0000	256	0	39	4	19	3	2	92	0	1	1	0
72	93	10100404ffff0404	0000ffffffff0000	0	4	11	1	14	7	3	93	1	2	3	0
73	94	1010040404ffffff	0000ffffffff0000	1024	4	38	1	14	7	3	94	1	2	3	0
74	95	1010040404ffffff	0000ffffffff0000	1024	4	36	1	12	7	3	95	1	2	3	0
75	96	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	96	0	1	1	0
76	97	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	97	0	1	1	0
77	98	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	98	0	1	1	0
78	99	1f1fffffffffffff	0000ffffffff0000	0	0	39	4	19	3	2	99	0	1	1	0
