idx	class_id	pipeA_hex	pipeB_hex	p0_flags	p1_tput	p2	p3	p4	p5_maxstall	p6	p7_self	p8	p9	p10	p11
41	48	4646ffffffffffff	0000ffffffff0000	0	0	39	4	19	7	3	48	0	1	1	0
42	49	4444ffffffffffff	0000ffffffff0000	0	0	39	4	19	7	3	49	0	1	1	0
43	50	ffff2424ffffffff	ffffffff00000000	0	0	39	4	19	7	3	50	0	1	1	0
44	51	ffffffffffff1818	0000ffffffff0000	512	0	39	4	19	7	3	51	0	1	1	0
45	52	69690e0effffffff	0000ffffffff0000	8	4	18	1	10	4	1	52	3	0	0	0
46	54	ffff0000ffffffff	0000ffffffff0000	2097160	0	39	4	19	7	3	54	0	2	2	0
47	55	69690e0effffffff	0000ffffffff0000	8	4	18	1	10	4	1	55	3	0	0	0
48	56	4545ffffffffffff	00000303ffff0000	8	4	17	1	10	0	1	56	3	0	0	0
49	60	69690e0effffffff	0000ffffffff0000	8	4	18	1	10	4	1	60	3	0	0	0
50	61	69690e0effff2828	0000ffffffff0000	8	4	18	1	10	4	1	61	3	0	0	0
51	62	ffff1717ffff1818	0000ffffffff0000	0	0	39	4	19	3	2	62	0	1	1	0
52	63	ffffffffffff0808	0000ffffffff0000	4194304	0	5	1	6	7	3	63	1	2	3	0
53	64	ffffffffffffffff	0000ffffffff0000	67108872	0	39	4	19	7	3	64	0	2	1	0
54	65	ffffffffffff0808	0000ffffffff0000	4194368	0	5	1	6	7	3	65	1	2	1	0
55	66	32320e0effffffff	0000ffffffff0000	0	4	38	1	14	7	3	66	1	2	3	0
56	67	32320e0effffffff	0000ffffffff0000	0	4	36	1	12	7	3	67	1	2	3	0
57	68	00000404ffffffff	0000ffffffff0000	0	0	39	4	19	3	2	68	0	1	1	0
58	69	32320e0effffffff	0000ffffffff0000	0	4	38	1	14	7	3	69	1	2	3	0
59	70	32320e0effffffff	0000ffffffff0000	0	4	36	1	12	7	3	70	1	2	3	0
60	71	00000404ffffffff	0000ffffffff0000	0	0	39	4	19	3	2	71	0	1	1	0
61	72	5b5b0404ffffffff	0000ffffffff0000	0	0	39	4	19	3	2	72	0	1	1	0
