idx	triplet_count	sb_id	threshold	mask
0	1	0	56	8
1	1	2	56	2
2	1	5	56	4
3	1	6	56	8
4	1	9	16	4
5	1	9	56	2
6	1	11	56	2
7	1	13	56	8
8	1	15	56	4
9	1	16	56	32
10	1	18	56	2
11	1	19	1	4
12	1	19	2	16
13	1	19	10	4
14	1	19	15	2
15	1	19	17	8
16	1	19	19	8
17	1	19	21	4
18	1	19	23	4
19	1	19	26	6
20	1	19	28	6
21	1	19	31	4
22	1	19	33	8
23	1	19	35	4
24	1	19	36	6
25	1	19	39	4
26	1	20	56	8
27	1	21	56	1
28	1	27	56	32
29	1	31	56	2
30	1	34	56	8
