ori_opcode	latency_cycles	mnemonic_best_effort	note
109		CCTLL	default (ALU=6 / MEM=300 by property bit 0x40)
110		CCTLT	default (ALU=6 / MEM=300 by property bit 0x40)
111		MEMBAR	default (ALU=6 / MEM=300 by property bit 0x40)
112		SULD	default (ALU=6 / MEM=300 by property bit 0x40)
113		SUST	default (ALU=6 / MEM=300 by property bit 0x40)
114		SUATOM	default (ALU=6 / MEM=300 by property bit 0x40)
115		SURED	default (ALU=6 / MEM=300 by property bit 0x40)
116		PIXLD	default (ALU=6 / MEM=300 by property bit 0x40)
117		ISBERD	default (ALU=6 / MEM=300 by property bit 0x40)
118		ISBEWR	default (ALU=6 / MEM=300 by property bit 0x40)
119		SHFL	default (ALU=6 / MEM=300 by property bit 0x40)
120		WARPSYNC	default (ALU=6 / MEM=300 by property bit 0x40)
121		YIELD	default (ALU=6 / MEM=300 by property bit 0x40)
122		DFMA	default (ALU=6 / MEM=300 by property bit 0x40)
123		DADD	default (ALU=6 / MEM=300 by property bit 0x40)
124		DMUL	default (ALU=6 / MEM=300 by property bit 0x40)
125		DSETP	default (ALU=6 / MEM=300 by property bit 0x40)
126		HADD2	default (ALU=6 / MEM=300 by property bit 0x40)
127		HADD2_F32	default (ALU=6 / MEM=300 by property bit 0x40)
128		HFMA2	default (ALU=6 / MEM=300 by property bit 0x40)
129		HMUL2	default (ALU=6 / MEM=300 by property bit 0x40)
130		HSET2	default (ALU=6 / MEM=300 by property bit 0x40)
131		HSETP2	default (ALU=6 / MEM=300 by property bit 0x40)
132		HMMA_16	default (ALU=6 / MEM=300 by property bit 0x40)
133		HMMA_32	default (ALU=6 / MEM=300 by property bit 0x40)
134		IMMA	default (ALU=6 / MEM=300 by property bit 0x40)
135		INTRINSIC	default (ALU=6 / MEM=300 by property bit 0x40)
136		SM70_LAST	default (ALU=6 / MEM=300 by property bit 0x40)
137		SM73_FIRST	default (ALU=6 / MEM=300 by property bit 0x40)
138		UBREV	default (ALU=6 / MEM=300 by property bit 0x40)
139		UBMSK	default (ALU=6 / MEM=300 by property bit 0x40)
140		UCLEA	default (ALU=6 / MEM=300 by property bit 0x40)
141		UISETP	default (ALU=6 / MEM=300 by property bit 0x40)
142		ULDC	default (ALU=6 / MEM=300 by property bit 0x40)
143		ULEA	default (ALU=6 / MEM=300 by property bit 0x40)
144		UP2UR	default (ALU=6 / MEM=300 by property bit 0x40)
145		ULOP3	default (ALU=6 / MEM=300 by property bit 0x40)
146		UPLOP3	default (ALU=6 / MEM=300 by property bit 0x40)
147		USEL	default (ALU=6 / MEM=300 by property bit 0x40)
148		USGXT	default (ALU=6 / MEM=300 by property bit 0x40)
149		UFLO	default (ALU=6 / MEM=300 by property bit 0x40)
150		UIADD3	default (ALU=6 / MEM=300 by property bit 0x40)
151		UIMAD	default (ALU=6 / MEM=300 by property bit 0x40)
152		UMOV	default (ALU=6 / MEM=300 by property bit 0x40)
153		UPRMT	default (ALU=6 / MEM=300 by property bit 0x40)
154		VOTEU	default (ALU=6 / MEM=300 by property bit 0x40)
155		UPOPC	default (ALU=6 / MEM=300 by property bit 0x40)
156		USHF	default (ALU=6 / MEM=300 by property bit 0x40)
157		SCATTER	default (ALU=6 / MEM=300 by property bit 0x40)
158		F2FP	default (ALU=6 / MEM=300 by property bit 0x40)
159		HMMA_1688	default (ALU=6 / MEM=300 by property bit 0x40)
160		HMMA_16816	default (ALU=6 / MEM=300 by property bit 0x40)
161		BMMA	default (ALU=6 / MEM=300 by property bit 0x40)
162	13	TTUCCTL	
163		TTUMACRO	default (ALU=6 / MEM=300 by property bit 0x40)
164		R2UR	default (ALU=6 / MEM=300 by property bit 0x40)
165		MOVM	default (ALU=6 / MEM=300 by property bit 0x40)
166		LDSM	default (ALU=6 / MEM=300 by property bit 0x40)
167		LDTRAM	default (ALU=6 / MEM=300 by property bit 0x40)
168		FOOTPRINT	default (ALU=6 / MEM=300 by property bit 0x40)
169		S2UR	default (ALU=6 / MEM=300 by property bit 0x40)
170		BRXU	default (ALU=6 / MEM=300 by property bit 0x40)
171		SM73_LAST	default (ALU=6 / MEM=300 by property bit 0x40)
172		SM82_FIRST	default (ALU=6 / MEM=300 by property bit 0x40)
173		GATHER	default (ALU=6 / MEM=300 by property bit 0x40)
174		GENMETADATA	default (ALU=6 / MEM=300 by property bit 0x40)
175		SPMETADATA	default (ALU=6 / MEM=300 by property bit 0x40)
176		BMMA_88128	default (ALU=6 / MEM=300 by property bit 0x40)
177		BMMA_168128	default (ALU=6 / MEM=300 by property bit 0x40)
178		BMMA_168256	default (ALU=6 / MEM=300 by property bit 0x40)
179		CLMAD	default (ALU=6 / MEM=300 by property bit 0x40)
180	13	DMMA	
181		HMMA_SP_1688	default (ALU=6 / MEM=300 by property bit 0x40)
182	13	HFMA2_MMA	
183	24	HMNMX2	
184		IMMA_88	default (ALU=6 / MEM=300 by property bit 0x40)
185		IMMA_SP_88	default (ALU=6 / MEM=300 by property bit 0x40)
186		IMMA_16816	default (ALU=6 / MEM=300 by property bit 0x40)
187		IMMA_16832	default (ALU=6 / MEM=300 by property bit 0x40)
188		IMMA_SP_16832	default (ALU=6 / MEM=300 by property bit 0x40)
189		ARRIVES	default (ALU=6 / MEM=300 by property bit 0x40)
190		LDGDEPBAR	default (ALU=6 / MEM=300 by property bit 0x40)
191		LDGSTS	default (ALU=6 / MEM=300 by property bit 0x40)
192	13	REDUX	
193		SM82_LAST	default (ALU=6 / MEM=300 by property bit 0x40)
194	13	SM86_FIRST	
195	24	F2IP	
196		UF2FP	default (ALU=6 / MEM=300 by property bit 0x40)
197		I2FP	default (ALU=6 / MEM=300 by property bit 0x40)
198		SUQUERY	default (ALU=6 / MEM=300 by property bit 0x40)
199	13	SM86_LAST	
200		SM89_FIRST	default (ALU=6 / MEM=300 by property bit 0x40)
201		QMMA_16816	default (ALU=6 / MEM=300 by property bit 0x40)
202		QMMA_16832	default (ALU=6 / MEM=300 by property bit 0x40)
203		QMMA_SP_16832	default (ALU=6 / MEM=300 by property bit 0x40)
204		QMMA_SP_12864	default (ALU=6 / MEM=300 by property bit 0x40)
205		SM89_LAST	default (ALU=6 / MEM=300 by property bit 0x40)
206		SM90_FIRST	default (ALU=6 / MEM=300 by property bit 0x40)
207		ACQBLK	default (ALU=6 / MEM=300 by property bit 0x40)
208		CGABAR_ARV	default (ALU=6 / MEM=300 by property bit 0x40)
209		CGABAR_GET	default (ALU=6 / MEM=300 by property bit 0x40)
210		CGABAR_SET	default (ALU=6 / MEM=300 by property bit 0x40)
211		CGABAR_WAIT	default (ALU=6 / MEM=300 by property bit 0x40)
212		CGAERRBAR	default (ALU=6 / MEM=300 by property bit 0x40)
213		CREATEPOLICY	default (ALU=6 / MEM=300 by property bit 0x40)
214		CVTA	default (ALU=6 / MEM=300 by property bit 0x40)
215	13	DMMA	
216		ELECT	default (ALU=6 / MEM=300 by property bit 0x40)
217		ENDCOLLECTIVE	default (ALU=6 / MEM=300 by property bit 0x40)
218		FENCE_G	default (ALU=6 / MEM=300 by property bit 0x40)
219		FENCE_S	default (ALU=6 / MEM=300 by property bit 0x40)
220		FMNMX	default (ALU=6 / MEM=300 by property bit 0x40)
221	13	GMMA	
222		LDCU	default (ALU=6 / MEM=300 by property bit 0x40)
223	300	LEPC	
224		MAPA	default (ALU=6 / MEM=300 by property bit 0x40)
225		PREEXIT	default (ALU=6 / MEM=300 by property bit 0x40)
226		R2UR_H	default (ALU=6 / MEM=300 by property bit 0x40)
227		REDAS	default (ALU=6 / MEM=300 by property bit 0x40)
228	300	SETMAXREG	
229		SETSMEMSIZE	default (ALU=6 / MEM=300 by property bit 0x40)
230		STAS	default (ALU=6 / MEM=300 by property bit 0x40)
231		STSM	default (ALU=6 / MEM=300 by property bit 0x40)
232		SYNCS_BASIC	default (ALU=6 / MEM=300 by property bit 0x40)
233		SYNCS_LD_UNIFM	default (ALU=6 / MEM=300 by property bit 0x40)
234		UBLKCP	default (ALU=6 / MEM=300 by property bit 0x40)
235		UBLKRED	default (ALU=6 / MEM=300 by property bit 0x40)
236		UBLKPF	default (ALU=6 / MEM=300 by property bit 0x40)
237		UCVTA	default (ALU=6 / MEM=300 by property bit 0x40)
238		ULEPC	default (ALU=6 / MEM=300 by property bit 0x40)
239		UMAPA	default (ALU=6 / MEM=300 by property bit 0x40)
240		UTMACCTL	default (ALU=6 / MEM=300 by property bit 0x40)
