idx	triplet_count	sb_id	threshold	mask
0	1	0	56	8
1	1	2	56	2
2	1	5	56	4
3	1	6	56	8
4	1	12	8	2
5	1	12	9	1
6	1	12	12	4
7	1	12	13	2
8	1	13	56	8
9	1	15	56	4
10	1	16	56	32
11	1	18	56	2
12	1	19	2	584
13	1	19	10	64
14	1	19	18	16
15	1	19	20	16
16	1	19	22	8
17	1	19	24	8
18	1	19	27	8
19	1	19	29	8
20	1	19	32	8
21	1	19	34	16
22	1	19	35	4
23	1	19	37	8
24	1	19	39	4
25	1	20	56	8
26	1	21	56	1
27	1	27	56	32
28	1	30	56	32
29	1	31	56	2
30	1	33	56	8
