# ptxas phase registry (binary-derived, CUDA 13.0.88)
#
# All 159 phase IDs from the name table at VA 0x22BD0C0 (file off 0x1EBD0C0, rodata delta 0x400000).
# Verified byte-exact against extracted/phase_names.json (count 159) and
# decoded/ptxas-passes/phase_pipeline.tsv (159 rows): ZERO mismatches.
#
# bin_index : phase ID; index into name table 0x22BD0C0 AND the 159-arm factory jump table 0x22BBEB8.
# phase_name : exact plaintext string (no decoding needed).
# name_va    : VA of the name string in .rodata.
# is_default : true for IDs 0..156 (in the default schedule 0x22BEEA0, count 157);
#              false for 157 (DebuggerBreak) and 158 (NOP) -- registered but NOT dispatched
#              by default; reachable only via the recipe/named-phases path (knob 298).
#
# Factory: sub_C60D30, cmp $0x9e (158) upper bound, jmp *0x22BBEB8(,idx,8); all 159 arms distinct
#          (each phase has its own 16-byte object + vtable). Arm 157 -> 0xc60d61, arm 158 -> 0xc61ae8.
#
bin_index	phase_name	name_va	is_default
110	FinalInspectionPass	0x22bcbe3	true
111	SetAfterLegalization	0x22bcbf7	true
112	ReportBeforeScheduling	0x22bcc0c	true
113	AdvancedPhasePreSched	0x22bcc23	true
114	ScheduleInstructions	0x21db4a8	true
115	UpdateAfterScheduleInstructions	0x22bd028	true
116	BackPropagateVEC2D	0x22bcc39	true
117	OriDoSyncronization	0x22bcc4c	true
118	UpdateAfterOriDoSyncronization	0x22bd048	true
119	ApplyPostSyncronizationWars	0x22bcc60	true
120	ReportBeforeRegisterAllocation	0x22bd068	true
121	AdvancedPhaseAllocReg	0x22bcc7c	true
122	AllocateRegisters	0x21f0229	true
123	ReportAfterRegisterAllocation	0x22bcc92	true
124	UpdateAfterOriAllocateRegisters	0x22bd088	true
125	Get64bRegComponents	0x22bccb0	true
126	AdvancedPhasePostExpansion	0x22bccc4	true
127	PostExpansion	0x22bccd1	true
128	ApplyPostRegAllocWars	0x22bccdf	true
129	AdvancedPhasePostSched	0x22bccf5	true
130	OriRemoveNopCode	0x22bcd0c	true
131	OptimizeHotColdInLoop	0x22bcd1d	true
132	OptimizeHotColdFlow	0x22bcd33	true
133	PostSchedule	0x22bcd47	true
134	AdvancedPhasePostFixUp	0x22bcd54	true
135	PlaceBlocksInSourceOrder	0x22bcd6b	true
136	PostFixForMercTargets	0x22bcd84	true
137	FixUpTexDepBarAndSync	0x22bcd9a	true
138	AdvancedScoreboardsAndOpexes	0x22bcdb0	true
139	ProcessO0WaitsAndSBs	0x22bcdcd	true
140	PostFixUp	0x22bcd61	true
141	MercConverter	0x21e5c39	true
142	MercEncodeAndDecode	0x22bcde2	true
143	MercExpandInstructions	0x22bcdf6	true
144	MercGenerateWARs1	0x22bce0d	true
145	MercGenerateOpex	0x22bce1f	true
146	MercGenerateWARs2	0x22bce30	true
147	MercGenerateSassUCode	0x22bce42	true
148	ComputeVCallRegUse	0x22bce58	true
149	CalcRegisterMap	0x22bce6b	true
150	UpdateAfterPostRegAlloc	0x22bce7b	true
151	ReportFinalMemoryUsage	0x22bce93	true
152	AdvancedPhaseOriPhaseEncoding	0x22bceaa	true
153	FormatCodeList	0x22bced3	true
154	UpdateAfterFormatCodeList	0x22bcec8	true
155	DumpNVuCodeText	0x22bcee2	true
156	DumpNVuCodeHex	0x22bcef2	true
157	DebuggerBreak	0x22bcf01	false
158	NOP	0x21e6c80	false
