opcode_id	mnemonic	rot13_stored	sm_gen	encoding_slot	encoding_status	pipeline_flags_sm7x	pipeline_flags_sm10x	in_opcode_to_encoding_table
105	ATOMS	NGBZF	sm_70	45	isel-slot			yes
106	QSPC	DFCP	sm_70	59	isel-slot			yes
107	CCTL_NO_SB	PPGY_AB_FO	sm_70	0	default-slot			yes
108	CCTL	PPGY	sm_70	60	isel-slot			yes
109	CCTLL	PPGYY	sm_70	62	isel-slot			yes
110	CCTLT	PPGYG	sm_70	68	isel-slot			yes
111	MEMBAR	ZRZONE	sm_70	71	isel-slot			yes
112	SULD	FHYQ	sm_70	78	isel-slot			yes
113	SUST	FHFG	sm_70	79	isel-slot			yes
114	SUATOM	FHNGBZ	sm_70	106	isel-slot			yes
115	SURED	FHERQ	sm_70	0	default-slot			yes
116	PIXLD	CVKYQ	sm_70	0	default-slot			yes
117	ISBERD	VFOREQ	sm_70	0	default-slot			yes
118	ISBEWR	VFORJE	sm_70	147	isel-slot			yes
119	SHFL	FUSY	sm_70	149	isel-slot			yes
120	WARPSYNC	JNECFLAP	sm_70	0	default-slot			yes
121	YIELD	LVRYQ	sm_70	0	default-slot			yes
122	DFMA	QSZN	sm_70	179	isel-slot			yes
123	DADD	QNQQ	sm_70	180	isel-slot			yes
124	DMUL	QZHY	sm_70	192	isel-slot			yes
125	DSETP	QFRGC	sm_70	191	isel-slot			yes
126	HADD2	UNQQ2	sm_70	199	isel-slot			yes
127	HADD2_F32	UNQQ2_S32	sm_70	215	isel-slot			yes
128	HFMA2	USZN2	sm_70	0	default-slot			yes
129	HMUL2	UZHY2	sm_70	221	isel-slot			yes
130	HSET2	UFRG2	sm_70	225	isel-slot			yes
131	HSETP2	UFRGC2	sm_70	2	isel-slot			yes
132	HMMA_16	UZZN_16	sm_70	10	isel-slot			yes
133	HMMA_32	UZZN_32	sm_70	48	isel-slot			yes
134	IMMA	VZZN	sm_70	0	default-slot			yes
135	INTRINSIC	VAGEVAFVP	sm_70	0	default-slot			yes
136	SM70_LAST	FZ70_YNFG	sm_70	0	default-slot			yes
137	SM73_FIRST	FZ73_SVEFG	sm_73	0	default-slot			yes
138	UBREV	HOERI	sm_73	0	default-slot			yes
139	UBMSK	HOZFX	sm_73	0	default-slot			yes
140	UCLEA	HPYRN	sm_73	0	default-slot			yes
141	UISETP	HVFRGC	sm_73	120	isel-slot			yes
142	ULDC	HYQP	sm_73	126	isel-slot			yes
143	ULEA	HYRN	sm_73	129	isel-slot			yes
144	UP2UR	HC2HE	sm_73	139	isel-slot			yes
145	ULOP3	HYBC3	sm_73	143	isel-slot			yes
146	UPLOP3	HCYBC3	sm_73	151	isel-slot			yes
147	USEL	HFRY	sm_73	163	isel-slot			yes
148	USGXT	HFTKG	sm_73	0	default-slot			yes
149	UFLO	HSYB	sm_73	200	isel-slot			yes
150	UIADD3	HVNQQ3	sm_73	201	isel-slot			yes
151	UIMAD	HVZNQ	sm_73	206	isel-slot			yes
152	UMOV	HZBI	sm_73	207	isel-slot			yes
153	UPRMT	HCEZG	sm_73	208	isel-slot			yes
154	VOTEU	IBGRH	sm_73	213	isel-slot			yes
155	UPOPC	HCBCP	sm_73	0	default-slot			yes
156	USHF	HFUS	sm_73	214	isel-slot			yes
157	SCATTER	FPNGGRE	sm_73	0	default-slot			yes
158	F2FP	S2SC	sm_73	216	isel-slot			yes
159	HMMA_1688	UZZN_1688	sm_73	217	isel-slot			yes
160	HMMA_16816	UZZN_16816	sm_73	219	isel-slot			yes
161	BMMA	OZZN	sm_73	227	isel-slot			yes
162	TTUCCTL	GGHPPGY	sm_73	229	isel-slot			yes
163	TTUMACRO	GGHZNPEB	sm_73	290	isel-slot			yes
164	R2UR	E2HE	sm_73	7	isel-slot			yes
165	MOVM	ZBIZ	sm_73	0	default-slot			yes
166	LDSM	YQFZ	sm_73	0	default-slot			yes
167	LDTRAM	YQGENZ	sm_73	0	default-slot			yes
168	FOOTPRINT	SBBGCEVAG	sm_73	36	isel-slot			yes
169	S2UR	F2HE	sm_73	355	sentinel-unencoded			yes
170	BRXU	OEKH	sm_73	0	default-slot			yes
171	SM73_LAST	FZ73_YNFG	sm_73	0	default-slot			yes
172	SM82_FIRST	FZ82_SVEFG	sm_82	110	isel-slot			yes
173	GATHER	TNGURE	sm_82	115	isel-slot			yes
174	GENMETADATA	TRAZRGNQNGN	sm_82	114	isel-slot			yes
175	SPMETADATA	FCZRGNQNGN	sm_82	117	isel-slot			yes
176	BMMA_88128	OZZN_88128	sm_82	196	isel-slot			yes
177	BMMA_168128	OZZN_168128	sm_82	254	isel-slot			yes
178	BMMA_168256	OZZN_168256	sm_82	255	isel-slot			yes
179	CLMAD	PYZNQ	sm_82	256	isel-slot			yes
180	DMMA	QZZN	sm_82	257	isel-slot			yes
181	HMMA_SP_1688	UZZN_FC_1688	sm_82	258	isel-slot			yes
182	HFMA2_MMA	USZN2_ZZN	sm_82	259	isel-slot			yes
183	HMNMX2	UZAZK2	sm_82	260	isel-slot			yes
184	IMMA_88	VZZN_88	sm_82	261	isel-slot			yes
185	IMMA_SP_88	VZZN_FC_88	sm_82	0	default-slot			yes
186	IMMA_16816	VZZN_16816	sm_82	0	default-slot			yes
187	IMMA_16832	VZZN_16832	sm_82	262	isel-slot			yes
188	IMMA_SP_16832	VZZN_FC_16832	sm_82	243	isel-slot			yes
189	ARRIVES	NEEVIRF	sm_82	0	default-slot			yes
190	LDGDEPBAR	YQTQRCONE	sm_82	0	default-slot			yes
191	LDGSTS	YQTFGF	sm_82	0	default-slot			yes
192	REDUX	ERQHK	sm_82	0	default-slot			yes
193	SM82_LAST	FZ82_YNFG	sm_82	0	default-slot			yes
194	SM86_FIRST	FZ86_SVEFG	sm_86	0	default-slot			yes
195	F2IP	S2VC	sm_86	0	default-slot			yes
196	UF2FP	HS2SC	sm_86	0	default-slot			yes
197	I2FP	V2SC	sm_86	0	default-slot			yes
198	SUQUERY	FHDHREL	sm_86	0	default-slot			yes
