va	name	rot13_stored	is_rot13	region
0x21B6FC9	When	Jura	True	OCG knobs (ctor_005)
0x21B6FD8	WarpOpexPrev	JnecBcrkCeri	True	OCG knobs (ctor_005)
0x21B6FF0	WarpOpexJt	JnecBcrkWg	True	OCG knobs (ctor_005)
0x21B7008	WarpOpexBar	JnecBcrkOne	True	OCG knobs (ctor_005)
0x21B7020	WaitToForceCTASwitch	JnvgGbSbeprPGNFjvgpu	True	OCG knobs (ctor_005)
0x21B7040	WaitReqForEndGroup	JnvgErdSbeRaqTebhc	True	OCG knobs (ctor_005)
0x21B7060	WaitPaddingAvoidEGAndSync	JnvgCnqqvatNibvqRTNaqFlap	True	OCG knobs (ctor_005)
0x21B7090	DPXRestrictRegs	QCKErfgevpgErtf	True	OCG knobs (ctor_005)
0x21B70B0	DPXCompoundFuseDistance	QCKPbzcbhaqShfrQvfgnapr	True	OCG knobs (ctor_005)
0x21B70E0	DPXCompoundFuseBudget	QCKPbzcbhaqShfrOhqtrg	True	OCG knobs (ctor_005)
0x21B7100	VimnmxFuseBudget	IvzazkShfrOhqtrg	True	OCG knobs (ctor_005)
0x21B7120	FmnmxFuseBudget	SzazkShfrOhqtrg	True	OCG knobs (ctor_005)
0x21B7140	VectorizeFp32	IrpgbevmrSc32	True	OCG knobs (ctor_005)
0x21B7160	VectorizeFpMathWithPRMTGenBudget	IrpgbevmrScZnguJvguCEZGTraOhqtrg	True	OCG knobs (ctor_005)
0x21B7190	VectorizeFpMathWithPRMTGen	IrpgbevmrScZnguJvguCEZGTra	True	OCG knobs (ctor_005)
0x21B71C0	VectorizeConstantsBudget	IrpgbevmrPbafgnagfOhqtrg	True	OCG knobs (ctor_005)
0x21B71F0	VectorizeBudget	IrpgbevmrOhqtrg	True	OCG knobs (ctor_005)
0x21B7210	VectorizeAndRemapTLD	IrpgbevmrNaqErzncGYQ	True	OCG knobs (ctor_005)
0x21B7230	VectorizeALDAST	IrpgbevmrNYQNFG	True	OCG knobs (ctor_005)
0x21B7250	VaryingWarpSyncDiverges	InelvatJnecFlapQviretrf	True	OCG knobs (ctor_005)
0x21B7278	Validate	Inyvqngr	True	OCG knobs (ctor_005)
0x21B7290	UseProfileData	HfrCebsvyrQngn	True	OCG knobs (ctor_005)
0x21B72C0	UseNewLoopInvariantRoutineForHoisting	HfrArjYbbcVainevnagEbhgvarSbeUbvfgvat	True	OCG knobs (ctor_005)
0x21B72F0	UseMercSemantics	HfrZrepFrznagvpf	True	OCG knobs (ctor_005)
0x21B7310	UseMercResources	HfrZrepErfbheprf	True	OCG knobs (ctor_005)
0x21B7340	UseGroupOpexesForResourceScheduling	HfrTebhcBcrkrfSbeErfbheprFpurqhyvat	True	OCG knobs (ctor_005)
0x21B7370	UseAntiDepLatAsReadSBWait	HfrNagvQrcYngNfErnqFOJnvg	True	OCG knobs (ctor_005)
0x21B73A0	URFTradeOffTexUR2RRatio	HESGenqrBssGrkHE2EEngvb	True	OCG knobs (ctor_005)
0x21B73D0	URFTradeOffTexR2URRatio	HESGenqrBssGrkE2HEEngvb	True	OCG knobs (ctor_005)
0x21B7400	URFTradeoffSpillCandidateSlack	HESGenqrbssFcvyyPnaqvqngrFynpx	True	OCG knobs (ctor_005)
0x21B7440	URFTradeoffSpillCandidateMinDistance	HESGenqrbssFcvyyPnaqvqngrZvaQvfgnapr	True	OCG knobs (ctor_005)
0x21B7470	URFTradeoffRegTargetFactor	HESGenqrbssErtGnetrgSnpgbe	True	OCG knobs (ctor_005)
0x21B74A0	URFTradeoffR2URScaleThreshold	HESGenqrbssE2HEFpnyrGuerfubyq	True	OCG knobs (ctor_005)
0x21B74D0	URFTradeoffMaxLiveThreshold	HESGenqrbssZnkYvirGuerfubyq	True	OCG knobs (ctor_005)
0x21B7500	URFTradeoffMaxLiveReductionThreshold	HESGenqrbssZnkYvirErqhpgvbaGuerfubyq	True	OCG knobs (ctor_005)
0x21B7540	URFTradeoffMaxDynamicInstIncrease	HESGenqrbssZnkQlanzvpVafgVapernfr	True	OCG knobs (ctor_005)
0x21B7570	URFTradeoffLowerLimitBase	HESGenqrbssYbjreYvzvgOnfr	True	OCG knobs (ctor_005)
0x21B75A0	URFTradeoffLivenessMetricReductionThreshold	HESGenqrbssYvirarffZrgevpErqhpgvbaGuerfubyq	True	OCG knobs (ctor_005)
0x21B75E0	URFTradeoffLivenessMetricFactor	HESGenqrbssYvirarffZrgevpSnpgbe	True	OCG knobs (ctor_005)
