opcode_id	mnemonic	rot13	sm_gen	enc_category	isel_slot	ctor_verified	notes
121	YIELD	LVRYQ	sm_70	121	0	yes	
122	DFMA	QSZN	sm_70	122	179	yes	
123	DADD	QNQQ	sm_70	123	180	yes	
124	DMUL	QZHY	sm_70	124	192	yes	
125	DSETP	QFRGC	sm_70	125	191	yes	
126	HADD2	UNQQ2	sm_70	126	199	yes	
127	HADD2_F32	UNQQ2_S32	sm_70	127	215	yes	
128	HFMA2	USZN2	sm_70	128	0	yes	
129	HMUL2	UZHY2	sm_70	129	221	yes	
130	HSET2	UFRG2	sm_70	130	225	yes	
131	HSETP2	UFRGC2	sm_70	131	2	yes	
132	HMMA_16	UZZN_16	sm_70	132	10	yes	
133	HMMA_32	UZZN_32	sm_70	133	48	yes	
134	IMMA	VZZN	sm_70	134	0	yes	
135	INTRINSIC	VAGEVAFVP	sm_70	135	0	yes	
136	SM70_LAST	FZ70_YNFG	sm_70	136	0	yes	sm-boundary-marker
137	SM73_FIRST	FZ73_SVEFG	sm_73	137	0	yes	sm-boundary-marker
138	UBREV	HOERI	sm_73	138	0	yes	
139	UBMSK	HOZFX	sm_73	139	0	yes	
140	UCLEA	HPYRN	sm_73	140	0	yes	
141	UISETP	HVFRGC	sm_73	141	120	yes	
142	ULDC	HYQP	sm_73	142	126	yes	
143	ULEA	HYRN	sm_73	143	129	yes	
144	UP2UR	HC2HE	sm_73	144	139	yes	
145	ULOP3	HYBC3	sm_73	145	143	yes	
146	UPLOP3	HCYBC3	sm_73	146	151	yes	
147	USEL	HFRY	sm_73	147	163	yes	
148	USGXT	HFTKG	sm_73	148	0	yes	
149	UFLO	HSYB	sm_73	149	200	yes	
150	UIADD3	HVNQQ3	sm_73	150	201	yes	
151	UIMAD	HVZNQ	sm_73	151	206	yes	
152	UMOV	HZBI	sm_73	152	207	yes	
153	UPRMT	HCEZG	sm_73	153	208	yes	
154	VOTEU	IBGRH	sm_73	154	213	yes	
155	UPOPC	HCBCP	sm_73	155	0	yes	
156	USHF	HFUS	sm_73	156	214	yes	
157	SCATTER	FPNGGRE	sm_73	157	0	yes	
158	F2FP	S2SC	sm_73	158	216	yes	
159	HMMA_1688	UZZN_1688	sm_73	159	217	yes	
160	HMMA_16816	UZZN_16816	sm_73	160	219	yes	
161	BMMA	OZZN	sm_73	161	227	yes	
162	TTUCCTL	GGHPPGY	sm_73	162	229	yes	
163	TTUMACRO	GGHZNPEB	sm_73	163	290	yes	
164	R2UR	E2HE	sm_73	164	7	yes	
165	MOVM	ZBIZ	sm_73	165	0	yes	
166	LDSM	YQFZ	sm_73	166	0	yes	
167	LDTRAM	YQGENZ	sm_73	167	0	yes	
168	FOOTPRINT	SBBGCEVAG	sm_73	168	36	yes	
169	S2UR	F2HE	sm_73	169	355	yes	
170	BRXU	OEKH	sm_73	170	0	yes	
171	SM73_LAST	FZ73_YNFG	sm_73	171	0	yes	sm-boundary-marker
172	SM82_FIRST	FZ82_SVEFG	sm_82	172	110	yes	sm-boundary-marker
173	GATHER	TNGURE	sm_82	173	115	yes	
174	GENMETADATA	TRAZRGNQNGN	sm_82	174	114	yes	
175	SPMETADATA	FCZRGNQNGN	sm_82	175	117	yes	
176	BMMA_88128	OZZN_88128	sm_82	176	196	yes	
177	BMMA_168128	OZZN_168128	sm_82	177	254	yes	
178	BMMA_168256	OZZN_168256	sm_82	178	255	yes	
179	CLMAD	PYZNQ	sm_82	179	256	yes	
180	DMMA	QZZN	sm_82	180	257	yes	
181	HMMA_SP_1688	UZZN_FC_1688	sm_82	181	258	yes	
182	HFMA2_MMA	USZN2_ZZN	sm_82	182	259	yes	
183	HMNMX2	UZAZK2	sm_82	183	260	yes	
184	IMMA_88	VZZN_88	sm_82	184	261	yes	
185	IMMA_SP_88	VZZN_FC_88	sm_82	185	0	yes	
186	IMMA_16816	VZZN_16816	sm_82	186	0	yes	
187	IMMA_16832	VZZN_16832	sm_82	187	262	yes	
188	IMMA_SP_16832	VZZN_FC_16832	sm_82	188	243	yes	
189	ARRIVES	NEEVIRF	sm_82	189	0	yes	
190	LDGDEPBAR	YQTQRCONE	sm_82	190	0	yes	
191	LDGSTS	YQTFGF	sm_82	191	0	yes	
192	REDUX	ERQHK	sm_82	192	0	yes	
193	SM82_LAST	FZ82_YNFG	sm_82	193	0	yes	sm-boundary-marker
194	SM86_FIRST	FZ86_SVEFG	sm_86	194	0	yes	sm-boundary-marker
195	F2IP	S2VC	sm_86	195	0	yes	
196	UF2FP	HS2SC	sm_86	196	0	yes	
197	I2FP	V2SC	sm_86	197	0	yes	
198	SUQUERY	FHDHREL	sm_86	198	0	yes	
199	SM86_LAST	FZ86_YNFG	sm_86	199	0	yes	sm-boundary-marker
200	SM89_FIRST	FZ89_SVEFG	sm_89	200	0	yes	sm-boundary-marker
201	QMMA_16816	DZZN_16816	sm_89	201	0	yes	
202	QMMA_16832	DZZN_16832	sm_89	202	96	yes	
203	QMMA_SP_16832	DZZN_FC_16832	sm_89	203	0	yes	
204	QMMA_SP_12864	DZZN_FC_12864	sm_89	204	169	yes	
205	SM89_LAST	FZ89_YNFG	sm_89	205	178	yes	sm-boundary-marker
206	SM90_FIRST	FZ90_SVEFG	sm_90	206	197	yes	sm-boundary-marker
