class	index	abi_value	name	handler	bit_actions	status
MERCURY	32	0x10020	R_MERCURY_FUNC_DESC_8_0	NVRH_DRIVER	bits[0..7]=FDESC8_0>>0	baseline
MERCURY	33	0x10021	R_MERCURY_FUNC_DESC_8_8	NVRH_DRIVER	bits[0..7]=FDESC8_8>>8	baseline
MERCURY	34	0x10022	R_MERCURY_FUNC_DESC_8_16	NVRH_DRIVER	bits[0..7]=FDESC8_16>>16	baseline
MERCURY	35	0x10023	R_MERCURY_FUNC_DESC_8_24	NVRH_DRIVER	bits[0..7]=FDESC8_24>>24	baseline
MERCURY	36	0x10024	R_MERCURY_FUNC_DESC_8_32	NVRH_DRIVER	bits[0..7]=FDESC8_32>>32	baseline
MERCURY	37	0x10025	R_MERCURY_FUNC_DESC_8_40	NVRH_DRIVER	bits[0..7]=FDESC8_40>>40	baseline
MERCURY	38	0x10026	R_MERCURY_FUNC_DESC_8_48	NVRH_DRIVER	bits[0..7]=FDESC8_48>>48	baseline
MERCURY	39	0x10027	R_MERCURY_FUNC_DESC_8_56	NVRH_DRIVER	bits[0..7]=FDESC8_56>>56	baseline
MERCURY	40	0x10028	R_MERCURY_ABS_PROG_REL32_LO	NVRH_DRIVER	bits[0..31]=PCREL>>0	baseline
MERCURY	41	0x10029	R_MERCURY_ABS_PROG_REL32_HI	NVRH_DRIVER	bits[0..31]=PCREL>>32	baseline
MERCURY	42	0x1002a	R_MERCURY_PROG_REL8_0	NVRH_FINALIZER	bits[0..7]=ADDR8_0>>0	baseline
MERCURY	43	0x1002b	R_MERCURY_PROG_REL8_8	NVRH_FINALIZER	bits[0..7]=ADDR8_8>>8	baseline
MERCURY	44	0x1002c	R_MERCURY_PROG_REL8_16	NVRH_FINALIZER	bits[0..7]=ADDR8_16>>16	baseline
MERCURY	45	0x1002d	R_MERCURY_PROG_REL8_24	NVRH_FINALIZER	bits[0..7]=ADDR8_24>>24	baseline
MERCURY	46	0x1002e	R_MERCURY_PROG_REL8_32	NVRH_FINALIZER	bits[0..7]=ADDR8_32>>32	baseline
MERCURY	47	0x1002f	R_MERCURY_PROG_REL8_40	NVRH_FINALIZER	bits[0..7]=ADDR8_40>>40	baseline
MERCURY	48	0x10030	R_MERCURY_PROG_REL8_48	NVRH_FINALIZER	bits[0..7]=ADDR8_48>>48	baseline
MERCURY	49	0x10031	R_MERCURY_PROG_REL8_56	NVRH_FINALIZER	bits[0..7]=ADDR8_56>>56	baseline
MERCURY	50	0x10032	R_MERCURY_UNIFIED	NVRH_DRIVER	bits[0..31]=UADDR>>0	baseline
MERCURY	51	0x10033	R_MERCURY_UNIFIED_32	NVRH_DRIVER	bits[0..63]=UADDR>>0	baseline
MERCURY	52	0x10034	R_MERCURY_UNIFIED_8_0	NVRH_DRIVER	bits[0..7]=UADDR8_0>>0	baseline
MERCURY	53	0x10035	R_MERCURY_UNIFIED_8_8	NVRH_DRIVER	bits[0..7]=UADDR8_8>>8	baseline
MERCURY	54	0x10036	R_MERCURY_UNIFIED_8_16	NVRH_DRIVER	bits[0..7]=UADDR8_16>>16	baseline
MERCURY	55	0x10037	R_MERCURY_UNIFIED_8_24	NVRH_DRIVER	bits[0..7]=UADDR8_24>>24	baseline
MERCURY	56	0x10038	R_MERCURY_UNIFIED_8_32	NVRH_DRIVER	bits[0..7]=UADDR8_32>>32	baseline
MERCURY	57	0x10039	R_MERCURY_UNIFIED_8_40	NVRH_DRIVER	bits[0..7]=UADDR8_40>>40	baseline
MERCURY	58	0x1003a	R_MERCURY_UNIFIED_8_48	NVRH_DRIVER	bits[0..7]=UADDR8_48>>48	baseline
MERCURY	59	0x1003b	R_MERCURY_UNIFIED_8_56	NVRH_DRIVER	bits[0..7]=UADDR8_56>>56	baseline
MERCURY	60	0x1003c	R_MERCURY_ABS_PROG_REL32	NVRH_DRIVER	bits[0..31]=PCREL>>0	baseline
MERCURY	61	0x1003d	R_MERCURY_ABS_PROG_REL64	NVRH_DRIVER	bits[0..63]=PCREL>>0	baseline
MERCURY	62	0x1003e	R_MERCURY_UNIFIED32_LO	NVRH_DRIVER	bits[0..31]=LOUADDR>>0	baseline
MERCURY	63	0x1003f	R_MERCURY_UNIFIED32_HI	NVRH_DRIVER	bits[0..31]=HIUADDR>>32	baseline
MERCURY	64	0x10040	R_MERCURY_NONE_LAST	NVRH_NONE	(none)	baseline
