table	id	severity_code	severity	message	source
main	131	5	error	Operand negation not allowed for instruction '%s'	plaintext
main	132	5	error	Floating-point coordinates required	plaintext
main	133	5	error	Integer coordinates require .s32 instruction type	plaintext
main	134	5	error	Illegal type for %s	plaintext
main	135	5	error	Value out of range for type .b%d %lld	plaintext
main	136	5	error	Positive non-zero value expected for %s	plaintext
main	137	5	error	Barrier number '%llu' out of range, expected to be in range [0..15]	plaintext
main	138	5	error	Instruction '%s' requires .v%d type	plaintext
main	139	5	error	Operand vector size doesn't match geometry for instruction '%s'	plaintext
main	140	5	error	Illegal query modifier for instruction '%s'	plaintext
main	141	6	fatal	No initial value is allowed for .f16 type	plaintext
main	142	5	error	No initial value is allowed for external symbol '%s'	plaintext
main	143	5	error	No initial value is allowed for '%s' in this state space	plaintext
main	144	5	error	Unexpected number of state spaces specified in instruction '%s'	plaintext
main	145	5	error	Multiple state spaces specified	plaintext
main	146	5	error	%s %d is invalid for %s	plaintext
main	147	5	error	Alignment value too large, %s	plaintext
main	148	5	error	Argument %d of '%s' instruction: value must be %s	plaintext
main	149	5	error	Alignment must be a power of two	plaintext
main	150	5	error	Argument %d of instruction '%s' : value '%lld' expected to be a non-zero positive	plaintext
main	151	5	error	Instruction '%s' requires a non-zero thread count argument	plaintext
main	152	5	error	Membar level required for instruction '%s'	plaintext
main	153	5	error	Declarations not allowed in .sreg space	plaintext
main	154	5	error	%s state space expected for feature '%s'	plaintext
main	155	5	error	State space incorrect for feature '%s'	plaintext
main	156	5	error	State space mismatch between instruction and address in instruction '%s'	plaintext
main	157	5	error	State space incorrect for instruction '%s', expected '%s'	plaintext
main	158	5	error	State space incorrect for instruction '%s'	plaintext
main	159	5	error	No state space qualifier expected for instruction '%s'	plaintext
main	160	5	error	Sink '_' is expected as a destination operand for instruction '%s' with '%s'	plaintext
main	161	6	fatal	Result discard mode is not allowed for instruction '%s'	plaintext
main	162	5	error	Sink '_' not allowed as a destination operand for instruction '%s'	plaintext
main	163	5	error	Sink '_' not allowed as a source operand	plaintext
main	164	5	error	Illegal state space for address operand '%s' with instruction '%s'	plaintext
main	165	5	error	Illegal rounding modifier for instruction '%s'	plaintext
main	166	5	error	Incorrect '%s' modifier specified for instruction '%s'	plaintext
main	167	5	error	Illegal modifier '%s' for instruction '%s' with '%s'	plaintext
main	168	5	error	Illegal modifier '%s' for instruction '%s' with type '%s'	plaintext
main	169	5	error	Illegal modifier '%s' for instruction '%s', for arch '%s'	plaintext
main	170	5	error	Illegal modifier '%s' for instruction '%s'	plaintext
main	171	5	error	Unknown modifier '%s'	plaintext
main	172	5	error	Multiple %s modifiers specified	plaintext
main	173	5	error	Duplicate '%s' modifier specified for instruction '%s'	plaintext
main	174	5	error	Duplicate %s modifier	plaintext
main	175	5	error	Argument %d of instruction '%s': unexpected value '%lld' when '%s' and '%s'	plaintext
main	176	5	error	Argument %d of instruction '%s': unexpected value '%lld', expected to be %s	plaintext
main	177	5	error	Argument %d of instruction '%s': unexpected value '%lld', expected to be multiple of %d	plaintext
main	178	5	error	Argument %d of instruction '%s': value '%lld' expected to be in range [%d..%d] when %s	plaintext
main	179	5	error	Argument %d of instruction '%s': value '%f' out of range, expected to be in range (%f .. %f]	plaintext
main	180	5	error	Argument %d of instruction '%s': value '%lld' out of range, expected to be in range [%lld..%lld]	plaintext
main	181	5	error	Argument %d of instruction '%s': value '%d' out of range, expected to be in range [%d..%d]	plaintext
main	182	5	error	Argument %d of instruction '%s': must be %d-bit size	plaintext
main	183	5	error	Argument %d of instruction '%s': must be constant	plaintext
main	184	5	error	Argument %d of instruction '%s': must be register or constant	plaintext
main	185	5	error	Indirect access to texture requires unified texture mode	plaintext
main	186	5	error	Indirect access to surface requires .u64 type	plaintext
main	187	5	error	Indirect access to sampler requires .u64 type	plaintext
