sm_string	e_flags	ef_cuda_sm	sm_byte	sm_decimal	ef_cuda_virtual_sm	low_nibble	nv_compat_fastpath	min_ptx_version	note
sm_90	0x06005a04	0x5a04	0x5a	90	0x0600	0x04	0x00	8.0	Hopper; low nibble 0x04; CAN_FASTPATH_FINALIZE=0
sm_100	0x06006402	0x6402	0x64	100	0x0600	0x02	0x09	8.6	datacenter Blackwell; CAN_FASTPATH_FINALIZE mask=0x09
sm_103	0x06006702	0x6702	0x67	103	0x0600	0x02	0x00	8.8	Blackwell Ultra; CAN_FASTPATH_FINALIZE=0
sm_110	0x06006e02	0x6e02	0x6e	110	0x0600	0x02	0x00	9.0	Jetson Thor; needs PTX .version 9.0; CAN_FASTPATH_FINALIZE=0
sm_120	0x06007802	0x7802	0x78	120	0x0600	0x02	0x50	8.7	consumer RTX 50xx / Pro; CAN_FASTPATH_FINALIZE mask=0x50
sm_121	0x06007902	0x7902	0x79	121	0x0600	0x02	0x00	8.8	DGX Spark; CAN_FASTPATH_FINALIZE=0
sm_120a	0x06007802	0x7802	0x78	120	0x0600	0x02	0x50	8.7	'a' variant: e_flags identical to sm_120 (a-suffix not encoded in e_flags)
sm_121a	0x06007902	0x7902	0x79	121	0x0600	0x02	0x00	8.8	'a' variant: e_flags identical to sm_121
