# source_va=0x23F2E00 end=0x23FAE00 entry_format=(u32 field_a, u32 field_b) sentinel=0xFFFFFFFF
metric	value
total_entries	4096
active_entries	4014
field_a_text_va_pointers	3924
field_a_unique_values	2067
field_b_distribution(type_code:count)	0:3961;2:11;6:7;17:5;3:4;1:4;4:4;16843009:2;24:1;28:1;30:1;14:1;5:1;7:1;2855:1;2856:1
